epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,11417.3,0.57961,0.36554,1.03368,0.99063,0.94052,0.96595,0.82645,0.67025,0.43498,1.04047,0.00107288,0.00107288,0.00107288
110,11494.2,0.59166,0.37218,1.04476,0.98369,0.96573,0.96924,0.83255,0.64781,0.42425,0.99545,0.00106738,0.00106738,0.00106738
111,11570.9,0.59638,0.37321,1.04858,0.97431,0.96302,0.96939,0.82942,0.67593,0.43344,1.06677,0.00106188,0.00106188,0.00106188
112,11647.9,0.58587,0.36989,1.03535,0.98269,0.95073,0.96481,0.82245,0.65706,0.41823,1.06685,0.00105638,0.00105638,0.00105638
113,11724.5,0.59853,0.37109,1.04148,0.99031,0.95557,0.96582,0.81725,0.6671,0.42791,1.02636,0.00105088,0.00105088,0.00105088
114,11802.2,0.59179,0.37753,1.04546,0.97603,0.95809,0.96794,0.83441,0.64933,0.41155,1.01646,0.00104538,0.00104538,0.00104538
115,11882,0.57605,0.37428,1.03779,0.99291,0.95368,0.96682,0.83018,0.6476,0.40894,1.031,0.00103987,0.00103987,0.00103987
116,11962.3,0.57813,0.36218,1.03094,0.98359,0.95631,0.96343,0.82911,0.64818,0.41208,1.04378,0.00103437,0.00103437,0.00103437
117,12043.7,0.59933,0.37798,1.03888,0.98716,0.95368,0.96573,0.81316,0.7174,0.43264,1.07579,0.00102887,0.00102887,0.00102887
118,12124.1,0.56447,0.35355,1.02847,0.98137,0.96157,0.96518,0.82822,0.66422,0.45186,1.01248,0.00102337,0.00102337,0.00102337
119,12203.6,0.56406,0.35832,1.02805,0.99216,0.94753,0.96921,0.834,0.66971,0.41279,1.04663,0.00101787,0.00101787,0.00101787
120,12283.4,0.58453,0.3781,1.04387,0.97765,0.95631,0.96657,0.82478,0.66246,0.39904,1.07904,0.00101237,0.00101237,0.00101237
121,12363,0.55628,0.34344,1.0253,0.97585,0.96683,0.96791,0.83319,0.65435,0.40159,1.04627,0.00100687,0.00100687,0.00100687
122,12445.6,0.56294,0.35266,1.03325,0.98386,0.96157,0.96245,0.83417,0.69321,0.4054,1.09627,0.00100137,0.00100137,0.00100137
123,12526.4,0.56911,0.35724,1.03555,0.98195,0.9642,0.96865,0.83407,0.64771,0.3788,1.05128,0.000995866,0.000995866,0.000995866
124,12608,0.56118,0.35536,1.02584,0.98503,0.95777,0.96736,0.83044,0.67237,0.39866,1.06183,0.000990365,0.000990365,0.000990365
125,12685.6,0.56683,0.35556,1.03283,0.98264,0.96067,0.96575,0.82791,0.66438,0.44303,1.05248,0.000984864,0.000984864,0.000984864
126,12764.2,0.57348,0.36349,1.01993,0.98016,0.96231,0.97041,0.83946,0.65022,0.39262,1.01362,0.000979362,0.000979362,0.000979362
127,12843.2,0.5454,0.35189,1.02483,0.98102,0.9587,0.9706,0.83284,0.64854,0.40351,1.02314,0.000973861,0.000973861,0.000973861
128,12921.4,0.56582,0.35804,1.02859,0.98289,0.9642,0.97596,0.83218,0.65867,0.39386,1.03422,0.00096836,0.00096836,0.00096836
129,13003.8,0.57269,0.35318,1.0262,0.98635,0.95368,0.96942,0.84016,0.65166,0.43219,1.01456,0.000962859,0.000962859,0.000962859
130,13085.5,0.56554,0.35141,1.02666,0.9776,0.96157,0.96774,0.83723,0.63911,0.43439,1.02154,0.000957358,0.000957358,0.000957358
131,13163.3,0.55733,0.34456,1.01962,0.97531,0.96138,0.96956,0.83197,0.65106,0.41823,1.062,0.000951857,0.000951857,0.000951857
132,13242,0.57016,0.35787,1.02663,0.98808,0.95795,0.97025,0.83272,0.65378,0.39925,1.0061,0.000946356,0.000946356,0.000946356
133,13322.1,0.55517,0.34694,1.02292,0.98228,0.96125,0.97021,0.82824,0.65395,0.40784,1.01684,0.000940855,0.000940855,0.000940855
134,13401.1,0.5662,0.35215,1.03016,0.98584,0.95419,0.96885,0.82904,0.67099,0.4138,1.0278,0.000935354,0.000935354,0.000935354
135,13480.7,0.55878,0.34924,1.02852,0.98338,0.96157,0.97001,0.83443,0.63586,0.38327,1.01643,0.000929853,0.000929853,0.000929853
