epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,6258.09,0.50752,0.29587,0.91585,0.97096,0.94411,0.96598,0.82313,0.57797,0.3673,0.9523,0.000990365,0.000990365,0.000990365
125,6305.04,0.51451,0.29663,0.9225,0.97688,0.94411,0.95916,0.82457,0.58448,0.33503,0.94726,0.000984864,0.000984864,0.000984864
126,6352.7,0.50759,0.29324,0.91107,0.97399,0.95075,0.9658,0.8374,0.57199,0.34127,0.95345,0.000979362,0.000979362,0.000979362
127,6400.57,0.50752,0.2948,0.92246,0.97734,0.9467,0.9675,0.83287,0.55364,0.30045,0.93417,0.000973861,0.000973861,0.000973861
128,6448.48,0.49463,0.28501,0.9131,0.97239,0.94368,0.96422,0.82847,0.56965,0.33823,0.94163,0.00096836,0.00096836,0.00096836
129,6496.54,0.5103,0.29234,0.91677,0.97587,0.94293,0.96405,0.83258,0.57507,0.33278,0.96153,0.000962859,0.000962859,0.000962859
130,6544.04,0.49954,0.28988,0.91386,0.97693,0.94542,0.96462,0.83434,0.56187,0.33491,0.94524,0.000957358,0.000957358,0.000957358
131,6591.76,0.5001,0.2852,0.91528,0.9697,0.94929,0.95977,0.8334,0.5532,0.32379,0.93672,0.000951857,0.000951857,0.000951857
132,6639.29,0.50921,0.295,0.91452,0.96815,0.9528,0.96125,0.83666,0.56167,0.34019,0.94741,0.000946356,0.000946356,0.000946356
133,6686.48,0.49885,0.28437,0.91577,0.96885,0.95015,0.96521,0.83391,0.54767,0.34209,0.9403,0.000940855,0.000940855,0.000940855
134,6732.95,0.4948,0.28516,0.90945,0.9783,0.94604,0.96863,0.83291,0.55212,0.32949,0.94273,0.000935354,0.000935354,0.000935354
135,6784.1,0.48974,0.2811,0.91331,0.98083,0.9431,0.96257,0.82526,0.57969,0.33206,0.96396,0.000929853,0.000929853,0.000929853
136,6835.4,0.48164,0.28009,0.91138,0.97502,0.94237,0.95921,0.82937,0.55469,0.35511,0.94251,0.000924352,0.000924352,0.000924352
137,6886.43,0.50248,0.28216,0.91166,0.97784,0.94305,0.96312,0.82694,0.56649,0.35328,0.9457,0.00091885,0.00091885,0.00091885
138,6937.42,0.49614,0.28634,0.91328,0.97886,0.93936,0.9612,0.82202,0.56414,0.30759,0.9448,0.000913349,0.000913349,0.000913349
139,6989.84,0.50259,0.28589,0.91835,0.97903,0.94152,0.96263,0.83309,0.58063,0.30061,0.94941,0.000907848,0.000907848,0.000907848
140,7040.01,0.49813,0.28825,0.91903,0.97124,0.96225,0.96362,0.82592,0.56807,0.32719,0.94805,0.000902347,0.000902347,0.000902347
141,7090.36,0.4983,0.28578,0.91781,0.97333,0.95204,0.96412,0.83184,0.57162,0.32138,0.95854,0.000896846,0.000896846,0.000896846
142,7135.06,0.49377,0.28143,0.91954,0.96459,0.94915,0.9631,0.84203,0.5705,0.30702,0.96207,0.000891345,0.000891345,0.000891345
143,7179.87,0.50095,0.2859,0.91351,0.97656,0.94335,0.96875,0.83336,0.56342,0.32455,0.94163,0.000885844,0.000885844,0.000885844
144,7226.27,0.48217,0.27439,0.90839,0.96819,0.95402,0.96888,0.83316,0.55602,0.31426,0.94261,0.000880343,0.000880343,0.000880343
145,7271.64,0.4788,0.2788,0.90738,0.96644,0.94758,0.96365,0.82518,0.57663,0.34597,0.97203,0.000874842,0.000874842,0.000874842
146,7317.73,0.48446,0.27681,0.90954,0.97487,0.94929,0.9603,0.82623,0.55766,0.34778,0.95169,0.00086934,0.00086934,0.00086934
147,7363.52,0.48896,0.28167,0.91321,0.98154,0.94152,0.96303,0.83302,0.5517,0.31145,0.93894,0.000863839,0.000863839,0.000863839
148,7409.44,0.47765,0.27787,0.90908,0.96904,0.94929,0.96759,0.83286,0.55049,0.31414,0.93942,0.000858338,0.000858338,0.000858338
149,7455.02,0.48513,0.28114,0.91118,0.97602,0.94929,0.9685,0.8377,0.55673,0.31661,0.94651,0.000852837,0.000852837,0.000852837
150,7500.7,0.49738,0.27884,0.91531,0.97311,0.95447,0.96614,0.83043,0.55922,0.36476,0.95737,0.000847336,0.000847336,0.000847336
151,7546.59,0.4918,0.28224,0.91055,0.97746,0.94152,0.96385,0.83656,0.55447,0.33183,0.94557,0.000841835,0.000841835,0.000841835
152,7592.26,0.4876,0.28209,0.91242,0.98173,0.94047,0.9673,0.8348,0.5536,0.33223,0.93751,0.000836334,0.000836334,0.000836334
153,7638.32,0.48277,0.27419,0.90159,0.96419,0.95188,0.96462,0.83588,0.56303,0.35125,0.94035,0.000830833,0.000830833,0.000830833
154,7684.49,0.4782,0.27019,0.90762,0.96416,0.95447,0.96394,0.83899,0.55933,0.32938,0.93712,0.000825332,0.000825332,0.000825332
155,7730.24,0.48214,0.27618,0.91046,0.97721,0.94152,0.96509,0.8384,0.54993,0.30522,0.93358,0.000819831,0.000819831,0.000819831
156,7775.66,0.48559,0.27692,0.90597,0.96205,0.95447,0.96497,0.83456,0.54781,0.32661,0.93893,0.000814329,0.000814329,0.000814329
157,7821.69,0.47459,0.27504,0.90523,0.97335,0.94754,0.96509,0.83727,0.55472,0.32475,0.93537,0.000808828,0.000808828,0.000808828
158,7868.42,0.48068,0.27867,0.90458,0.96979,0.94543,0.96475,0.83542,0.56463,0.35313,0.94332,0.000803327,0.000803327,0.000803327
159,7914.99,0.4836,0.2738,0.9063,0.968,0.95188,0.96577,0.8342,0.54671,0.3126,0.93713,0.000797826,0.000797826,0.000797826
160,7961.46,0.47951,0.27442,0.90636,0.97443,0.9467,0.96656,0.83487,0.55319,0.30728,0.94669,0.000792325,0.000792325,0.000792325
161,8007.44,0.46462,0.26845,0.90216,0.97416,0.94863,0.96907,0.83801,0.54804,0.31086,0.93065,0.000786824,0.000786824,0.000786824
162,8053.51,0.47933,0.27779,0.91099,0.96843,0.95703,0.96397,0.83147,0.54602,0.31246,0.92562,0.000781323,0.000781323,0.000781323
163,8099.57,0.48261,0.27565,0.90747,0.96987,0.94929,0.96873,0.83726,0.54859,0.28672,0.92908,0.000775822,0.000775822,0.000775822
164,8145.69,0.47593,0.27045,0.90354,0.9835,0.94178,0.96881,0.83853,0.5375,0.3054,0.92427,0.000770321,0.000770321,0.000770321
165,8191.73,0.48235,0.27515,0.90566,0.96064,0.96098,0.97105,0.83775,0.54036,0.28669,0.92862,0.00076482,0.00076482,0.00076482
166,8237.63,0.47584,0.27285,0.90831,0.97647,0.95188,0.96929,0.83929,0.54975,0.31922,0.93175,0.000759318,0.000759318,0.000759318
167,8283.31,0.4795,0.27342,0.90696,0.97666,0.94458,0.96847,0.83795,0.54555,0.29201,0.92641,0.000753817,0.000753817,0.000753817
168,8331.09,0.47183,0.27123,0.91099,0.98226,0.94152,0.96781,0.83112,0.56613,0.29736,0.95432,0.000748316,0.000748316,0.000748316
169,8377.83,0.47039,0.26923,0.90575,0.96605,0.95541,0.97032,0.83484,0.55454,0.30582,0.93764,0.000742815,0.000742815,0.000742815
170,8424.58,0.47611,0.27288,0.90443,0.96639,0.95556,0.96947,0.83954,0.55386,0.29868,0.93041,0.000737314,0.000737314,0.000737314
171,8473.71,0.46674,0.27103,0.90028,0.97236,0.95342,0.96544,0.83658,0.55465,0.32736,0.93931,0.000731813,0.000731813,0.000731813
172,8522.29,0.47612,0.26593,0.9048,0.98447,0.9467,0.96824,0.83115,0.55555,0.3309,0.93352,0.000726312,0.000726312,0.000726312
173,8568.72,0.46269,0.26821,0.90649,0.97096,0.94929,0.96752,0.83316,0.55747,0.32232,0.93768,0.000720811,0.000720811,0.000720811
174,8617.05,0.46239,0.26757,0.90547,0.977,0.94743,0.96793,0.83486,0.55244,0.28861,0.93815,0.00071531,0.00071531,0.00071531
175,8663.62,0.46393,0.26544,0.89976,0.97424,0.94929,0.96764,0.84089,0.55157,0.31974,0.93522,0.000709809,0.000709809,0.000709809
176,8712.28,0.46331,0.26414,0.90047,0.9666,0.95965,0.96494,0.83823,0.54493,0.30776,0.93177,0.000704307,0.000704307,0.000704307
177,8760.98,0.46441,0.26714,0.90384,0.95882,0.96484,0.97036,0.83606,0.53982,0.31685,0.93221,0.000698806,0.000698806,0.000698806
178,8810.59,0.45838,0.26406,0.90436,0.97643,0.94092,0.96568,0.83841,0.54779,0.30969,0.93437,0.000693305,0.000693305,0.000693305
179,8859.26,0.45427,0.25869,0.90309,0.97154,0.94831,0.9646,0.83846,0.53727,0.29917,0.9393,0.000687804,0.000687804,0.000687804
